Campaign,Creatives,Impressions,Requests,Transferred,Emissions,Energy,Grade
Coca-Cola Zero 2024 Q2 Post Activation,48,77405907,750000000,150000000000,135000000,270000000,A
Pepsi Max Summer 2024 Launch,36,68945622,600000000,135000000000,96000000,204000000,B
Nike Air 2024 Spring Collection,60,120265900,900000000,180000000000,150000000,300000000,A
Adidas UltraBoost 2024 Return,44,105278000,840000000,165000000000,144000000,285000000,A
Samsung Galaxy S35 Launch,50,112500000,960000000,195000000000,156000000,312000000,D
Apple iPhone 15 Premiere,40,90000000,810000000,162000000000,129000000,258000000,D
Netflix Original Series 2024 Debut,30,75000000,690000000,138000000000,111000000,222000000,B
Spotify Summer Hits Playlist Promotion,20,60000000,540000000,108000000000,87000000,174000000,B
Amazon Prime Video Blockbuster Weekend,40,90000000,780000000,156000000000,126000000,252000000,B
HBO Max Exclusive Series Premiere,36,84000000,660000000,132000000000,105000000,210000000,F
Disney+ New Marvel Series Launch,44,105000000,870000000,174000000000,141000000,282000000,A
