Campaign,Creatives,Impressions,Requests,Transferred,Emissions,Energy,Grade
Coca-Cola Zero 2024 Q2 Post Activation,24,32405907,250000000,50000000000,45000000,90000000,B
Pepsi Max Summer 2024 Launch,18,28945622,200000000,45000000000,40000000,85000000,C
Nike Air 2024 Spring Collection,30,40265900,300000000,60000000000,50000000,100000000,B
Adidas UltraBoost 2024 Return,22,35278000,280000000,55000000000,48000000,95000000,A
Samsung Galaxy S35 Launch,25,37500000,320000000,65000000000,52000000,104000000,E
Apple iPhone 15 Premiere,20,30000000,270000000,54000000000,43000000,86000000,E
Netflix Original Series 2024 Debut,15,25000000,230000000,46000000000,37000000,74000000,C
Spotify Summer Hits Playlist Promotion,10,20000000,180000000,36000000000,29000000,58000000,C
Amazon Prime Video Blockbuster Weekend,20,30000000,260000000,52000000000,42000000,84000000,C
HBO Max Exclusive Series Premiere,18,28000000,220000000,44000000000,35000000,70000000,F
Disney+ New Marvel Series Launch,22,35000000,290000000,58000000000,47000000,94000000,B
